id,title,url,source,published_date,author,content,disaster_keywords_found,indonesia_location_keywords_found,event_score,rejection_reason,scraped_at
kompas.com_84eef66a6d32,"Mobil Bekas Tabrakan dan Banjir Ternyata Laris, Ini Cerita di Balik Pasarnya",https://megapolitan.kompas.com/read/2026/06/05/18265681/mobil-bekas-tabrakan-dan-banjir-ternyata-laris-ini-cerita-di-balik,Kompas.com,2026-06-05T11:26:56+00:00,Kompas Cyber Media,"JAKARTA, KOMPAS.com - Mobil bekas tabrakan dan bekas banjir ternyata masih memiliki banyak peminat di pasar kendaraan bekas. Kendaraan yang kerap dianggap berisiko itu diburu untuk berbagai keperluan, mulai dari diperbaiki dan digunakan kembali, dibangun ulang, hingga diambil suku cadangnya. Fenomena tersebut terlihat di salah satu showroom mobil bekas di kawasan Lubang Buaya, Cipayung, Jakarta Timur. Di lokasi itu, kendaraan dengan riwayat tabrakan, banjir, hingga kerusakan mesin dan kelistrikan dipasarkan secara terbuka kepada calon pembeli. Menurut pemilik showroom, Alvian Akmal (27), kebutuhan konsumen terhadap mobil-mobil tersebut sangat beragam. ""Macam-macam kebutuhannya. Ada yang beli untuk dibangun ulang, ada yang butuh part-nya, ada juga yang minta mobil diterima sudah dalam kondisi normal,"" kata Alvian saat ditemui, Jumat (5/6/2026). Sebagian pembeli memilih kendaraan dalam kondisi apa adanya. Namun, ada pula yang meminta kendaraan diperbaiki terlebih dahulu sebelum diserahkan. ""Nah pembeli ini minta buat diterima rapi. Jadi mereka minta, 'Bang ini saya mau perbaikin sekalian jadi terima normal' gitu. Ada kayak gitu,"" jelas Alvian. ""Ada juga yang emang beli kondisi bahan, emang dia pemain laka lah gitu ya kan. Pemain mobil rusak juga, relasi-relasi kita yang kita punya gitu. Jadi beberapa macam lah gitu,"" ungkap Alvian. Di sisi lain, pasokan mobil rusak juga terus tersedia. Alvian mengatakan, banyak pemilik kendaraan memilih menjual mobilnya setelah mengetahui biaya perbaikan yang tinggi atau karena trauma pascakecelakaan. ""Terus ada juga yang emang trauma, bahkan sampai takut ngelihat mobilnya pun ada gitu. Jadi emang ya udah namanya dia kecelakaan kan, bahkan mungkin kecelakaannya lumayan parah, atau mungkin ngalamin korban orangnya meninggal dan lain sebagainya gitu kan,"" ungkap Alvian. ""Minus mobil itu kan bukan cuma karena tabrakan atau banjir. Ada yang mesinnya bermasalah, matiknya rusak, elektrikalnya bermasalah. Semua kondisi seperti itu kami terima,"" katanya. Saat ini, sejumlah unit dengan latar belakang kerusakan berbeda masih tersedia di showroom tersebut. Mulai dari Toyota Innova, Mitsubishi Xpander bekas banjir di Aceh, Toyota Hilux bekas banjir di Medan, hingga Hyundai Ioniq yang pernah mengalami tabrakan.","banjir, kerusakan","aceh, jakarta, medan",4,,2026-06-05T11:38:10.968847+00:00
kompas.com_51f96bb94b0e,"Kebakaran Minimarket di Tangerang Bikin Panik, Karyawan Siram Api Pakai Air Galon Dagangan",https://megapolitan.kompas.com/read/2026/06/04/22291731/kebakaran-minimarket-di-tangerang-bikin-panik-karyawan-siram-api-pakai,Kompas.com,2026-06-04T15:29:17+00:00,Kompas Cyber Media,"TANGERANG, KOMPAS.com - Upaya pemadaman api di gerai minimarket Indomaret, Jalan Raya M Toha, Karawaci, Kota Tangerang, pada Kamis (4/6/2026) dini hari, diwarnai kepanikan. Saksi mata menyebut para karyawan sempat berusaha memadamkan api menggunakan air galon dagangan sebelum petugas pemadam tiba di lokasi. Romli (28), seorang pedagang buah yang berjualan tepat di seberang gerai tersebut, menceritakan detik-detik mencekam saat api mulai berkobar sekitar pukul 02.50 WIB. ""Karyawannya sekitar 4 atau 5 orang langsung keluar nyebar minta tolong. Ada yang ambil air ember dari warung sebelah, bahkan sampai air galon yang di depan toko itu juga dipakai buat nyiram,"" ujar Romli saat ditemui Kompas.com di lokasi kejadian, Kamis sore. Meski Romli, warga lain, dan karyawan sudah berusaha menyiramkan air, api tetap berkobar dan semakin membesar. Kondisi di dalam toko yang terlalu panas membuat warga tidak berani masuk lebih jauh. Situasi kian tak terkendali saat api mulai menyambar mesin ATM dan tumpukan tabung gas elpiji yang tersimpan di toko yang beroperasi 24 jam tersebut. ""Ngeri, tidak berani masuk soalnya panas banget. Apinya merembet ke mesin ATM, terus ke tabung gas juga. Terdengar suara ledakan beberapa kali dari dalam,"" tambah dia. Pantauan Kompas.com di lokasi pada Kamis sore, bangunan tersebut rusak cukup parah. Pintu rolling door menghitam dan ditutup terpal berwarna oranye dan biru. Di halaman parkir, tampak dua tabung gas elpiji yang sudah menghitam tergeletak di area luar. Sebuah spanduk pemberitahuan juga telah dipasang oleh manajemen, menginformasikan bahwa operasional gerai dialihkan sementara ke toko terdekat guna melayani pelanggan. Kepala Badan Penanggulangan Bencana Daerah (BPBD) Kota Tangerang, Mahdiar, mengonfirmasi bahwa tidak ada korban jiwa dalam musibah ini. Api diduga kuat berasal dari gangguan teknis pada alat elektronik. ""Kebakaran diduga dipicu oleh ledakan pada bagian freezer. Sebanyak 25 personel gabungan dan sembilan unit armada dikerahkan ke lokasi untuk penanganan,"" papar Mahdiar dalam keterangannya. Mahdiar menyebut, laporan diterima petugas pada pukul 03.00 WIB, dan personel tiba di lokasi 20 menit kemudian. Api baru benar-benar berhasil dipadamkan secara total pada pukul 05.20 WIB. Mahdiar pun mengimbau kepada seluruh pemilik usaha untuk lebih waspada terhadap perangkat elektronik yang menyala selama 24 jam nonstop. ""Kami mengimbau pelaku usaha agar rutin memeriksa instalasi listrik dan peralatan elektronik, khususnya freezer. Pastikan juga tersedia APAR untuk penanganan awal guna mencegah potensi kebakaran yang lebih besar,"" pungkas dia.","bpbd, kebakaran, korban jiwa","bpbd, kota",2,,2026-06-05T11:38:18.930131+00:00
kompas.com_aa3d72c0056c,Penyintas Banjir Aceh Utara Desak BNPB Perbaiki Huntara yang Rusak Karena Angin Kencang,https://regional.kompas.com/read/2026/06/03/225710878/penyintas-banjir-aceh-utara-desak-bnpb-perbaiki-huntara-yang-rusak-karena,Kompas.com,2026-06-03T15:57:10+00:00,Kompas Cyber Media,"LHOKSUKON, KOMPAS.com - Penyintas banjir di Kabupaten Aceh Utara, Provinsi Aceh, mendesak agar Badan Nasional Penanggulangan Bencana (BNPB) segera memperbaiki hunian sementara (huntara) yang rusak akibat angin kencang pada 2 Juni 2026. Pasalnya, ratusan jiwa kini mengungsi ke rumah saudaranya dan kehilangan tempat tinggal. Tercatat 85 unit Huntara rusak karena angin kencang di sejumlah desa dalam Kecamatan Langkahan, Kabupaten Aceh Utara. Penjabat Keuchik (Kepala Desa) Rumoh Rayeuk, Kecamatan Langkahan, Kabupaten Aceh Utara, Fakhrurrazi, Rabu (3/6/2026) menyebutkan sebanyak 37 unit Huntara penyintas banjir di desa itu rusak dan hancur karena angin kencang. “Sebanyak 23 jiwa pengungsi sekarang ini. Kami harap, BNPB bisa memperbaiki dalam waktu singkat. Agar warga bisa kembali ke Huntara,” terangnya. Sisi lain, dia mendesak agar jatah hidup (jadup) untuk penyintas banjir desa itu segera disalurkan. Sehingga bisa meringankan beban penyintas banjir. “Ini cobaan untuk kami, sudah terkena banjir 26 November 2025 lalu dan rumah hancur, kini Huntara juga hancur. Tolong ini diperbaiki secepatnya,” terangnya. Sementara itu, Kepala Pusat Data, Informasi dan Komunikasi Kebencanaan BNPB Abdul Muhari dihubungi terpisah menyebutkan, lembaga negara itu segera memperbaiki hunian sementara yang hancur karena angin kencang. “Jika ada kerusakan Huntara akibat bencana susulan atau bencana lainnya akan diperbaiki,” katanya. Sebelumnya diberitakan sebanyak 58 unit hunian sementara dan satu mushalla rusak karena angin kencang pada 2 Juni 2026 sore. Rinciannya, sebanyak 36 unit huntara yang dibangun oleh BNPB di Desa Rumoh Rayeuk mengalami kerusakan, terdiri atas 11 unit rusak berat, 20 unit rusak sedang, dan 5 unit rusak ringan. Sementara itu, di Desa Langkahan terdapat 5 unit huntara yang mengalami kerusakan ringan dan juga merupakan bantuan BNPB. Selanjutnya, sebanyak 7 unit huntara dan satu unit musala yang dibangun oleh Kementerian Pekerjaan Umum mengalami kerusakan di Desa Buket Linteung. Selain itu, 10 unit huntara yang dibangun BNPB secara in situ juga mengalami kerusakan, dengan rincian 4 unit rusak berat, 4 unit rusak sedang, dan 2 unit rusak ringan di Desa Geudumbak.","banjir, bnpb, kerusakan, pengungsi","aceh, bnpb, kabupaten, provinsi",4,,2026-06-05T11:38:20.846285+00:00
kompas.com_a8f71da294ec,Dua Ledakan Terdengar Saat Kebakaran Permukiman Pasar Jiung Kemayoran,https://megapolitan.kompas.com/read/2026/06/01/23460731/dua-ledakan-terdengar-saat-kebakaran-permukiman-pasar-jiung-kemayoran,Kompas.com,2026-06-01T16:46:07+00:00,Kompas Cyber Media,"JAKARTA, KOMPAS.com - Terdengar dua ledakan saat kebakaran hebat melanda permukiman padat penduduk di kawasan Jalan Kemayoran Gempol, RT 02/RW 05, Kelurahan Kebon Kosong, Kecamatan Kemayoran, Jakarta Pusat pada Senin (1/6/2026) malam. Pantauan Kompas.com di lokasi pada pukul 23.20 WIB, langit di sekitar lokasi tampak berwarna oranye kemerahan, lengkap dengan asap tebal yang membumbung tinggi. Api masih berkobar setinggi setidaknya tiga meter hingga dapat terlihat jelas dari balik tembok yang memisahkan perkampungan dengan area Lapangan Jusuf Hamka di sebelahnya. Dalam durasi lima menit sejak 23.00 hingga 23.05 WIB, terdapat setidaknya dua ledakan besar yang menimbulkan suara dentuman dan kobaran api meninggi. Ledakan tersebut pun disambut oleh suara teriakan sejumlah warga yang ketakutan dan sontak menjauh dari sekitar lokasi. Puluhan unit mobil pemadam kebakaran dikerahkan dan terparkir hingga menutup area Jalan Benyain Suaeb. Sebanyak 100 lebih personel dikerahkan di berbagai titik untuk melakukan proses pemadaman permukiman padat yang letaknya berada di belakang kawasan Pasar Jiung. Besarnya api membuat proses pemadaman sementara dilakukan dari sisi samping di sekitar lokasi, terutama dari area lapangan kosong di samping permukiman. Di area lapangan, warga berbondong-bondong menyelamatkan barang dari rumahnya mulai dari perabotan seperti kasur hingga lemari. Sementara, para pedagang Pasar Jiung juga terlihat mengamankan dagangannya dengan dibawa ke luar pasar hingga diletakkan menumpuk di tengah Jalan Benyamin Suaeb. Pertama gang sempit yang mengarah ke area lahan Lapangan Jusuf Hamka. Hingga saat ini, masih terlihat adanya warga yang hilir mudik dari dalam gang untuk menyelamatkan barang berharganya dari dalam rumah. Kemudian, antrean warga juga terlihat berdesakan keluar dari gang yang mengarah ke Jalan Kemayoran Gempol. Sementara, gang di area tengah pasar digunakan sebagai akses keluar masuk petugas pemadam kebakaran. Berdasarkan data sementara, terdapat total 35 unit mobil dan 106 personel yang dikerahkan untuk memadamkan api.",kebakaran,jakarta,1,,2026-06-05T11:38:24.624864+00:00
kompas.com_d0425729848b,"Curhat Korban Bencana Aceh: Senang Dapat Hewan Kurban, Sedih Ekonomi Belum Pulih",https://regional.kompas.com/read/2026/06/01/231100578/curhat-korban-bencana-aceh--senang-dapat-hewan-kurban-sedih-ekonomi-belum,Kompas.com,2026-06-01T16:11:00+00:00,Kompas Cyber Media,"KOMPAS.com – Sampai sekarang distribusi hewan kurban terus dilakukan. Salah satunya kepada para korban bencana alam. Direktur Rumah Amal Salman, Syachrial mengatakan, sejumlah wilayah terdampak bencana yang menjadi lokasi distribusi antara lain Kabupaten Pidie Jaya, Tapanuli Tengah, Aceh Tamiang, Aceh Tengah, Agam, Aceh Barat, hingga kawasan longsor Pasir Langu di Cisarua. “Sebagian masyarakat di wilayah tersebut masih menghadapi keterbatasan akses kebutuhan pangan dan proses pemulihan pascabencana,” ujar Syachrial dalam rilisnya, Senin (1/6/2026). Ditambahkan Syachrial, penyaluran kurban ini diharapkan dapat memperkuat solidaritas sosial sekaligus membantu pemenuhan kebutuhan pangan warga. “Kurban selalu menjadi momentum memperluas kepedulian sosial, terutama bagi masyarakat yang berada di wilayah bencana,” ujarnya. Salah satu penerima manfaat kurban, Nazaruddin, mengaku bantuan hewan kurban yang warga terima menjadi penyemangat. Kebersamaan dan kehangatan sangat terasa saat Idul Adha beberapa waktu lalu. Walaupun ia tidak memungkiri, masih ada rasa sedih dalam dirinya. Sebab perekonomian keluarganya belum pulih karena sumber penghasilannya habis tersapu banjir. Warga lainnya mengatakan, selain ekonomi keluarga, pendidikan anak-anaknya pun masih terganggu. Sebab sarana pendidikan seperti sekolah, masih rusak. Selain korban bencana, hewan kurban didistribusikan ke 62 kabupaten/kota di 28 provinsi. Termasuk daerah pelosok. Untuk memperluas jangkauan distribusi ini, Rumah Amal Salman dan Masjid Salman ITB bekerja sama dengan 30 masjid kampus dan 120 mitra lembaga di berbagai titik Indonesia. “Tahun ini, kami berhasil menghimpun total 119 ekor sapi dan 997 ekor domba. Khusus untuk lokasi bencana di Sumatera, sebanyak 13 ekor sapi,” tutur dia. Ketua Pelaksana Kurban, Didi Riyadi, menyatakan bahwa penghimpunan hewan kurban tahun ini meningkat 26 persen dibanding tahun lalu. Peningkatan tersebut dipengaruhi oleh tingginya minat jemaah terhadap layanan hak daging yang disediakan, program kurban untuk daerah rawan gizi, kurban di Sumatera, serta kerja sama dengan berbagai pihak.","banjir, longsor","aceh, indonesia, kabupaten, kota, provinsi, sumatera",4,,2026-06-05T11:38:26.572257+00:00
kompas.com_b7af8e2dc658,"Kebakaran Melanda Kemayoran Jakpus, Transjakarta Alihkan Rute 14 JIS - Senen",https://megapolitan.kompas.com/read/2026/06/01/23064621/kebakaran-melanda-kemayoran-jakpus-transjakarta-alihkan-rute-14-jis-senen,Kompas.com,2026-06-01T16:06:46+00:00,Kompas Cyber Media,"JAKARTA, KOMPAS.com - Transjakarta melakukan pengalihan rute imbas adanya kebakaran hebat yang melanda kawasan padat penduduk di Jalan Kemayoran Gempol, Kelurahan Kebon Kosong, Kemayoran, Jakarta Pusat, Senin (1/6/2026) malam. ""Transjakarta melakukan penyesuaian rute operasional untuk Rute 14 JIS – Senen pada Senin, 1 Juni 2026 mulai pukul 21.20 WIB, akibat adanya penanganan kebakaran di kawasan Jalan Jiung,"" Kepala Departemen Humas dan CSR Transjakarta Ayu Wardhani dalam keterangan tertulisnya yang diterima Kompas.com, Senin malam. Beberapa halte yang tidak melayani pelanggan dari kedua arah di antaranya Halte Toyota Rangga dan Halte Tanah Tinggi. Sedangkan Halte Kemayoran tidak bisa melayani pelanggan ke arah Jakarta International Stadium (JIS). Meski begitu, Transjakarta sudah melakukan modifikasi rute pengalihan untuk para pelanggan. Seperti arah Senen, dari Halte Kemayoran putar balik lewat Patung Ondel-Ondel menuju ke Jalan Angkasa masuk ke jalur rute 14 A, TL Golden belok kiri, Halte Jaga Jakarta, Putar Balik Pal Putih, dan Atrium. Sementara untuk yang ke arah JIS, Transjakarta akan melintasi Halte Jaga Jakarta, putar balik Pal Putih menuju Senen Raya, Jalan Senen Raya rightarrow Jalan Gunung Sahari, menuju Jalan Angkasa, lalu ke Jalan Benyamin Sueb, dan rute normal mulai Halte JIExpo Kemayoran sampai dengan JIS. ""Pelanggan diimbau untuk menyesuaikan perjalanan dan memantau informasi terkini melalui media sosial resmi Transjakarta dan aplikasi TJ:Transjakarta. Mohon maaf atas ketidaknyamanannya,"" sambung Ayu.",kebakaran,jakarta,1,,2026-06-05T11:38:28.536155+00:00
kompas.com_6b16c100664f,Penyebab Pria Mengamuk dan Merusak Mobil Lain di Tol JORR,https://megapolitan.kompas.com/read/2026/05/31/22203971/penyebab-pria-mengamuk-dan-merusak-mobil-lain-di-tol-jorr,Kompas.com,2026-05-31T15:20:39+00:00,Kompas Cyber Media,"JAKARTA, KOMPAS.com - Pria yang menyerempet dan merusak mobil warga bernama Peter, (39), di Tol Jakarta Outer Ring Road (JORR), ditangkap polisi. Kejadian tersebut diduga karena masalah salip menyalip di jalan tol. ""Untuk penyebabnya masih dalam tahap pendalaman. Yang pasti dalam kejadian tersebut, pelaku merasa tidak diberikan jalan pada saat mau menyalip di bagian kiri, "" ujar Panit 1 Subdit Resmob Ditreskrimum Polda Metro Jaya AKBP Pendi Wibisono dalam keterangan video kepada wartawan, Minggu (31/5/2026). ""Sehingga tiba-tiba pelaku merasa kesal, lalu menghampiri korban dan melakukan perusakan tersebut,"" lanjut dia. Pendi pun menjelaskan kronologi peristiwa yang terjadi pada Selasa (26/5/2026). Saat itu korban sedang mengendarai mobil Suzuki Ertiga hendak pulang ke rumahnya. Tiba-tiba, korban disalip oleh sopir taksi online yang bermobil Toyota Sigra. Sopir itu tiba tiba menyalip dari kanan dan langsung berhenti mobil di depan Suzuki Ertiga seketika itu juga. Pelaku Ialu bergerak memberhentikan korban dan langsung menghampiri korban dengan membawa kunci roda. Pelaku langsung memukul spion kanan korban dan langsung melakukan pengerusakan sehingga spion milik korban jatuh. Mobil korban pun lecet-lecet di bagian mobil dan mengalami kerusakan spion bagian kanan. Pendi mengungkapkan, pelaku diamankan di kediamannya di Ciputat, Tangerang Selatan. Pelaku perusakan tersebut diancam hukuman sebagaimana pasal 521 UU Nomor 1 tahun 2023 tentang KUHP yang mana ancaman pidana 2 tahun 6 bulan Diberitakan sebelumnya, seorang pengemudi mobil yang identitasnya belum diketahui menyerempet dan merusak mobil milik pengendara bernama Peter di ruas Tol JORR, Pondok Pinang arah Cilandak, Jakarta Selatan, Selasa (26/5/2026) malam. Peter mengatakan, awalnya dia tidak menyadari keberadaan mobil di belakangnya. Namun, tiba-tiba mobil tersebut memepet kendaraannya dari sisi kanan.",kerusakan,jakarta,1,,2026-06-05T11:38:33.947427+00:00
kompas.com_74d0ffd8edfa,"Api Kembali Menyala di Lokasi Kebakaran Tambora Jakbar, Damkar Lakukan Pemadaman",https://megapolitan.kompas.com/read/2026/05/29/23235781/api-kembali-menyala-di-lokasi-kebakaran-tambora-jakbar-damkar-lakukan,Kompas.com,2026-05-29T16:23:57+00:00,Kompas Cyber Media,"JAKARTA, KOMPAS.com - Api kembali muncul di lokasi kebakaran di Jalan Krendang Barat, Tambora, Jakarta Barat, pada Jumat (29/5/2026) malam. Kepala Seksi Operasi Suku Dinas Penanggulangan Kebakaran dan Penyelamatan (Gulkarmat) Jakarta Barat, Syaiful Kahfi, membenarkan adanya penyalaan kembali api pada pukul 20.55 WIB. Ia mengatakan, api kembali muncul di titik yang sama dengan kebakaran besar yang terjadi pada Kamis (28/5/2026) malam. ""Iya betul (ada penyalaan api) lagi, masih sama titiknya,"" kata Syaiful saat dikonfirmasi Kompas.com melalui pesan singkat, Jumat malam. Informasi adanya api kembali menyala tersebut pertama kali dilaporkan warga yang mendatangi Pos Damkar Krendang. Menindaklanjuti laporan itu, petugas pemadam kebakaran berangkat ke lokasi pada pukul 20.56 WIB dan tiba pukul 21.02 WIB. Api berhasil dilokalisir dalam waktu singkat pada pukul 21.10 WIB. Namun, proses pendinginan masih berlangsung sekitar satu jam hingga pukul 22.19 WIB untuk memastikan tidak ada lagi titik api yang berpotensi menyala. ""Pengerahan total 8 unit mobil pemadam dan 40 personel ke lokasi, situasi saat ini hijau pemadaman sudah selesai,"" ucap Syaiful. Ia menduga, api kembali muncul akibat masih adanya sisa bara yang tertimbun puing bangunan yang terbakar. ""Iya sepertinya begitu karena masih ada tumpukkan barang juga di lokasi,"" tuturnya. Sebelumnya diberitakan, kebakaran hebat melanda permukiman warga di kawasan padat penduduk di Jalan Krendang Barat, Kecamatan Tambora, Jakarta Barat, pada Kamis (28/5/2026) malam. Dalam video yang diterima Kompas.com, terlihat kondisi api besar membara di dalam sebuah gang permukiman padat penduduk. Asap hitam pun membumbung tinggi dan diwarnai dengan kepanikan sejumlah warga di lokasi kejadian. Kepala Seksi Operasi Suku Dinas Penanggulangan Kebakaran dan Penyelamatan (Gulkarmat) Jakarta Barat, Syaiful Kahfi, membenarkan adanya peristiwa tersebut. ""Benar, kami menerima laporan adanya kebakaran objek rumah tinggal pada pukul 19.47 WIB. Informasi awal didapat dari seorang warga yang datang langsung melapor ke Pos Krendang,"" ujar Syaiful saat dikonfirmasi, Kamis.",kebakaran,jakarta,2,,2026-06-05T11:38:38.209087+00:00
kompas.com_a8ee6ce22afe,"Kebakaran Ruko di Tanah Abang Padam Usai 4 Jam, Penyebab Masih Diselidiki",https://megapolitan.kompas.com/read/2026/05/25/23582061/kebakaran-ruko-di-tanah-abang-padam-usai-4-jam-penyebab-masih-diselidiki,Kompas.com,2026-05-25T16:58:20+00:00,Kompas Cyber Media,"JAKARTA, KOMPAS.com - Kebakaran yang terjadi di sebuah ruko di Jalan H Fachrudin RT 008/RW 007, Kampung Bali, Tanah Abang, Jakarta Pusat, berhasil dipadamkan setelah hampir empat jam. Perwira piket Suku Dinas Penanggulangan Kebakaran dan Penyelamatan (Gulkarmat) Jakarta Pusat, Supriyanto, mengatakan, pihaknya menerima informasi kebakaran pukul 18.12 WIB. ""Kita mengerahkan tiga unit damkar dari unit terdekat, yakni Benhil, Tambora ya. Lalu satu dari Sudin (Jakarta Pusat). Jumlah personel 110 orang,"" jelasnya saat dijumpai Kompas.com di lokasi kejadian, Senin (25/5/2026) malam. Ia menjelaskan, proses pemadaman memakan waktu cukup lama karena kondisi bangunan yang bertingkat lima dengan struktur beton. ""Jadi padamnya itu kira-kira sekitar pukul 22.04 ya. Ini bantuannya kan beton, lima lantai. Jadi memerlukan waktu untuk pemadaman,"" jelasnya. Menurut dia, akses antar lantai yang terbatas juga menjadi kendala di lapangan. Petugas hanya dapat naik melalui satu tangga, sehingga proses pemadaman harus dilakukan secara bertahap dari lantai 1 ke lantai atas. ""Jadi kita per lantai untuk proses pemadamannya. Jadi memang agak sedikit lama,"" tuturnya. Supriyanto menyebut ruko yang terbakar merupakan toko aksesori. Hingga proses pemadaman selesai, penyebab kebakaran belum dapat dipastikan. ""Pas kita sampai, posisi api sudah besar. Tadinya di lantai 1 lalu mulai bergeser ke lantai 2,"" katanya. Dalam proses pemadaman, petugas juga mengerahkan satu unit mobil bronto skylift untuk membantu penyemprotan dari sisi samping dan depan bangunan. Meski api sempat sulit dikendalikan, Supriyanto memastikan kebakaran tidak merambat ke bangunan di kanan dan kiri ruko. Upaya pemadaman dari kedua sisi turut membantu mencegah perluasan api. ""Karena kita juga mengupayakan pemadaman dari kanan dan kiri. Melalui bagian atas bangunan sisi kiri dan kanan gedung yang terbakar,"" katanya. Ia juga memastikan tidak ada penghuni di dalam ruko saat kejadian, sehingga tidak terdapat korban jiwa dalam peristiwa tersebut. Kasi Humas Polres Metro Jakarta Pusat, Erlyn Sumantri, turut membenarkan bahwa tidak ada korban jiwa dalam kebakaran tersebut. ""Untuk penyebabnya masih dalam penyelidikan. Kerugiannya belum dapat ditafsirkan,"" tuturnya. Adapun pantauan Kompas.com di lokasi, ada lebih dari tiga mobil pemadam kebakaran (damkar) yang berada di lokasi. Belasan petugas sedang membereskan peralatan dan memasukkan ke dalam mobil damkar. Sementara itu, petugas polisi memasang garis polisi ( police line ) di depan pintu ruko lima lantai yang sebelumnya terbakar.","kebakaran, korban jiwa","bali, jakarta",1,,2026-06-05T11:38:51.689837+00:00
kompas.com_d7dd73bfd631,"Mobil Anggota DPR Gus Hilman Kecelakaan di Tol Paspro, Dua Staf Tewas",https://surabaya.kompas.com/read/2026/05/23/225410178/mobil-anggota-dpr-gus-hilman-kecelakaan-di-tol-paspro-dua-staf-tewas,Kompas.com,2026-05-23T15:54:10+00:00,Kompas Cyber Media,"PROBOLINGGO, KOMPAS.com - Mobil anggota Komisi X DPR RI Muhammad Hilman Mufidi atau Gus Hilman mengalami kecelakaan di Tol Pasuruan-Probolinggo (Paspro) KM 834, Sabtu (23/5/2026) sore. Kecelakaan tersebut mengakibatkan dua orang meninggal dunia di lokasi kejadian. Kepala Unit Penegakan Hukum Satlantas Probolinggo Kota Aipda Muhammad Taufik Rahadian mengatakan, kecelakaan terjadi di jalur B Tol Paspro, tepatnya di Desa Posangit Lor, Kecamatan Wonomerto, Kabupaten Probolinggo. “Kecelakaan terjadi di Jalan Tol Pasuruan -Probolinggo (Paspro) Km 834 jalur B masuk Desa Posangit Lor, Kecamatan Wonomerto, Kabupaten Probolinggo,” kata Taufik saat dihubungi, Sabtu malam, dilansir dari Antara. Dua korban meninggal dunia diketahui bernama Alex Anwaruh (25) dan Adinda Najwa (26) yang merupakan staf pendamping rombongan Gus Hilman. Sementara Gus Hilman dan sopir kendaraan selamat meski mengalami luka-luka dan telah dilarikan ke rumah sakit setempat. Sebelum kecelakaan terjadi, rombongan anggota DPR RI dari Partai Kebangkitan Bangsa (PKB) itu diketahui menghadiri seminar dan roadshow di Universitas Nurul Jadid, Probolinggo. Kecelakaan melibatkan mobil Toyota Innova bernomor polisi N-1297-NB yang dikemudikan Mahrus Ali dengan dump truk bernomor polisi W-8439-UK yang dikemudikan Imam Subekti. Menurut polisi, mobil Innova melaju dari arah Probolinggo menuju Pasuruan atau dari timur ke barat di lajur kanan. Sesampainya di lokasi kejadian, mobil diduga bergerak ke kiri dan menabrak bagian belakang dump truk yang melaju searah di depannya. “Sopir kendaraan Innova diduga mengantuk atau kurang konsentrasi sehingga kendaraan ke kiri dan menabrak bagian bak belakang sebelah kanan dump truk,” ujar Taufik. Akibat benturan keras tersebut, bagian depan hingga sisi kiri mobil Innova mengalami kerusakan berat. Polisi menyatakan masih melakukan penyelidikan lebih lanjut untuk memastikan penyebab pasti kecelakaan tersebut.",kerusakan,"kabupaten, kota, ri",5,,2026-06-05T11:38:57.624476+00:00
